name,mass,year,reclat,reclong
Allan Hills 84068,1114.0999999999999,1984,-76.927660,156.940550
Allan Hills 84069,1136.3,1984,-76.751370,158.840180
Allan Hills 84070,3951.7,1984,-76.908240,156.880200
Allan Hills 84071,797.7,1984,-76.716670,159.666670
Allan Hills 84072,720.9,1984,-76.835710,158.263840
Allan Hills 84073,630.6,1984,-76.916080,156.970140
Allan Hills 84074,757.5,1984,-77.021260,156.983880
Allan Hills 84075,788.6,1984,-76.721440,158.764130
Allan Hills 84076,368.7,1984,-76.991480,156.968550
Adhi Kot,4239,1919,32.100000,71.800000
Adzhi-Bogdo (stone),910,1949,44.833330,95.166670
Agen,30000,1814,44.216670,0.616670
Aguada,1620,1930,-31.600000,-65.233330
Aguila Blanca,1440,1920,-30.866670,-64.550000
Aioun el Atrouss,1000,1974,16.398060,-9.570280
Aïr,24000,1925,19.083330,8.383330
Aire-sur-la-Lys,,1769,50.666670,2.333330
Akaba,779,1949,29.516670,35.050000
Akbarpur,1800,1838,29.716670,77.950000
Akwanga,3000,1959,8.916670,8.433330
Akyumak,50000,1981,39.916670,42.816670
Al Rais,160,1957,24.416670,39.516670
Al Zarnkh,700,2001,13.660330,28.960000
Alais,6000,1806,44.116670,4.083330
Albareto,2000,1766,44.650000,11.016670
Alberta,625,1949,2.000000,22.666670
Alby sur Chéran,252,2002,45.821330,6.015330
Aldsworth,700,1835,51.783330,-1.783330
Aleppo,3200,1873,36.233330,37.133330
Alessandria,908,1860,44.883330,8.750000
Alexandrovsky,9251,1900,50.950000,31.816670
Alfianello,228000,1883,45.266670,10.150000
Allegan,32000,1899,42.533330,-85.883330
Allende,2000000,1969,26.966670,-105.316670
Almahata Sitta,3950,2008,20.745750,32.412750
Alta'ameem,6000,1977,35.273330,44.215560
Ambapur Nagla,6400,1895,27.666670,78.250000
Andhara,2700,1880,26.583330,85.566670
Andover,3200,1898,44.616670,-70.750000
Andreevka,600,1969,48.700000,37.500000
Andura,17900,1939,20.883330,76.866670
Northwest Africa 5815,256.8,,0.000000,0.000000
Angers,,1822,47.466670,-0.550000
Angra dos Reis (stone),1500,1869,-22.966670,-44.316670
Ankober,6500,1942,9.533330,39.716670
Anlong,2500,1971,25.150000,105.183330
Aomori,320,1984,40.810560,140.785560
Appley Bridge,15000,1914,53.583330,-2.716670
Apt,3200,1803,43.866670,5.383330
Arbol Solo,810,1954,-33.000000,-66.000000
Archie,5070,1932,38.500000,-94.300000
Arroyo Aguiar,7450,1950,-31.416670,-60.666670
Asco,41,1805,42.450000,9.033330
Ash Creek,9500,2009,31.805000,-97.010000
Ashdon,1300,1923,52.050000,0.300000
Assisi,2000,1886,43.033330,12.550000
Atarra,1280,1920,25.254170,80.625000
Atemajac,94.2,1896,20.066670,-103.666670
Athens,265,1933,34.750000,-87.000000
Atoka,1384.2,1945,34.316670,-96.150000
Aubres,800,1836,44.383330,5.166670
Aumale,50000,1865,36.166670,3.666670
Aumieres,2000,1842,44.333330,3.233330
Ausson,50000,1858,43.083330,0.583330
Avanhandava,9330,1952,-21.460280,-49.950830
Avce,1230,1908,46.000000,13.500000
Avilez,146,1855,25.000000,-103.500000
Awere,134,1968,2.716670,32.833330
Aztec,2830,1938,36.800000,-108.000000
Bachmut,18000,1814,48.600000,38.000000
Bahjoi,10322,1934,28.483330,78.500000
Bald Mountain,3700,1929,35.966670,-82.483330
Baldwyn,345,1922,34.500000,-88.666670
Bali,1000,1907,5.383330,16.383330
Ban Rong Du,16700,1993,16.666670,101.183330
Washougal,225,1939,45.583330,-122.350000
Werdama,4000,2006,32.797320,21.787130
Wessely,3750,1831,48.950000,17.383330
Weston,150000,1807,41.266667,-73.266667
Wethersfield (1971),350,1971,41.700000,-72.650000
Wethersfield (1982),2756,1982,41.710560,-72.673610
Whetstone Mountains,2138.7399999999998,2009,31.961850,-110.434183
Wiluna,150000,1967,-26.592780,120.328330
Witklip Farm,22,1918,-26.000000,30.000000
Witsand Farm,66,1932,-28.666670,18.916670
Wittekrantz,2200,1880,-32.500000,23.000000
Wolamo,166.4,1964,9.000000,39.000000
Wold Cottage,25000,1795,54.136670,-0.413330
Woolgorong,36000,1960,-27.750000,115.833330
Worden,1551,1997,42.384670,-83.611500
Wuan,50000,1986,36.750000,114.250000
Wuzhi,,1931,35.133330,113.333330
Xi Ujimgin,5900,1980,44.666670,117.500000
Xingyang,75500,1977,32.333330,114.316670
Yafa,5700,2000,13.711110,45.170000
Yambo,4,1951,1.000000,22.500000
Yangchiang,20000,1954,21.833330,111.833330
Yanzhuang,3500,1990,24.566670,114.166670
Yardymly,150200,1959,38.933330,48.250000
